course,institution,category
Bachelor of Education (Arts),Kibabii University College - Main Campus,diploma
Bachelor of Education (Arts),Kenya Methodist University - Main Campus - Meru,diploma
Bachelor of Education (Arts),Maasai Mara University - Bomet Campus,diploma
Bachelor of Education (Arts),Maasai Mara University - Nyandarua Campus,diploma
Bachelor of Education (Arts),Rongo University College - Main Campus - Kitere Hill,diploma
Bachelor of Education (Arts),Jodan College of Technology - Thika Main Campus,diploma
Bachelor of Education (Arts),Bomet University College,diploma
Bachelor of Education (Arts),Garissa University,diploma
Bachelor of Education (Arts),Kaimosi Friends University,diploma
Bachelor of Education (Arts),Lukenya University - Lukenya,diploma
Bachelor of Education (Arts),Lukenya University - Kibwezi,diploma
Bachelor of Education (Science),Kisii University - Kisii Town Campus,diploma
Bachelor of Education (Science),Laikipia University - Main Campus,diploma
Bachelor of Education (Science),The Catholic University of Eastern Africa - Main Campus - Lang'ata,diploma
Bachelor of Education (Science),Mount Kenya University - Main Campus,diploma
Bachelor of Education (Science),Kabarak University - Main Campus,diploma
Bachelor of Education (Science),University of Eastern Africa Baraton - Main Campus - Baraton,diploma
Bachelor of Education (Science),University of Eastern Africa Baraton - Eldoret Extension Centre,diploma
Bachelor of Education (Science),Karatina University - Itiati Campus,diploma
Bachelor of Education (Science),South Eastern Kenya University - Main Campus,diploma
Bachelor of Education (Science),Chuka University - Main Campus,diploma
Bachelor of Education (Science),Masinde Muliro University of Science and Technology - Main Campus,diploma
Bachelor of Education (Science),University of Eastern Africa Baraton - Nairobi Extension Centre,diploma
Bachelor of Education (Science),Pwani University - Main Campus,diploma
Bachelor of Education (Science),Masinde Muliro University of Science and Technology - Webuye Campus,diploma
Bachelor of Education (Science),Egerton University - Njoro Campus,diploma
Bachelor of Education (Science),Kenyatta University - Main Campus,diploma
Bachelor of Education (Science),Kenyatta University - Kitui Campus,diploma
Bachelor of Education (Science),Maasai Mara University - Main Campus,diploma
Bachelor of Education (Science),University of Eldoret - Main Campus,diploma
Bachelor of Education (Science),The University of Nairobi - Kenya Science Campus,diploma
Bachelor of Education (Science),The University of Nairobi - Kisumu Campus,diploma
Bachelor of Education (Science),Kenyatta University - Mombasa Campus,diploma
Bachelor of Education (Science),The University of Nairobi - Chiromo Campus,diploma
Bachelor of Education (Science),The University of Nairobi - Kikuyu Campus,diploma
Bachelor of Education (Science),Meru University of Science and Technology - Main Campus (Nchiru),diploma
Bachelor of Education (Science),Kisii University - Nyamira Campus,diploma
Bachelor of Education (Science),Kisii University - Down Town Campus (Ouru Towers),diploma
Bachelor of Education (Science),Kenyatta University - Ruiru Campus,diploma
Bachelor of Education (Science),Kenyatta University - Dadaab Campus,diploma
Bachelor of Education (Science),The Catholic University of Eastern Africa - Gaba Campus - Eldoret,diploma
Bachelor of Education (Science),Kenya Methodist University - Main Campus - Meru,diploma
Bachelor of Education (Science),Bomet University College,diploma
Bachelor of Education (Science),University of Kabianga - Main Campus,diploma
Bachelor of Education (Science),Rongo University College - Main Campus - Kitere Hill,diploma
Bachelor of Education (Science),Jodan College of Technology - Thika Main Campus,diploma
Bachelor of Education (Science),Garissa University,diploma
Bachelor of Education (Science),Kaimosi Friends University,diploma
Bachelor of Laws (LLB),Kisii University - Kisii Town Campus,diploma
Bachelor of Laws (LLB),Africa Nazarene University - Ongata Rongai Campus,diploma
Bachelor of Laws (LLB),The Catholic University of Eastern Africa - Main Campus - Lang'ata,diploma
Bachelor of Laws (LLB),Mount Kenya University - Main Campus,diploma
Bachelor of Laws (LLB),The Presbyterian University of East Africa - Main Campus - Kikuyu,diploma
Bachelor of Laws (LLB),Kabarak University - Main Campus,diploma
Bachelor of Laws (LLB),Chuka University - Main Campus,diploma
Bachelor of Laws (LLB),The Catholic University of Eastern Africa - Gaba Campus - Eldoret,diploma
Bachelor of Laws (LLB),The Catholic University of Eastern Africa - Nairobi City Campus,diploma
Bachelor of Laws (LLB),Strathmore University - Strathmore University,diploma
Bachelor of Laws (LLB),Jomo Kenyatta University of Agriculture and Technology - Karen Campus,diploma
Bachelor of Laws (LLB),Kenyatta University - Parklands Campus,diploma
Bachelor of Laws (LLB),Moi University - Main Campus,diploma
Bachelor of Laws (LLB),Riara University - Main Campus,diploma
Bachelor of Laws (LLB),The University of Nairobi - Parklands Campus,diploma
Bachelor of Laws (LLB),The University of Nairobi - Kisumu Campus,diploma
Bachelor of Laws (LLB),The University of Nairobi - Mombasa Campus,diploma
Bachelor of Laws (LLB),Kisii University - Nyamira Campus,diploma
Bachelor of Laws (LLB),Kenyatta University - KU/KIST,diploma
Bachelor of Medicine and Bachelor of Surgery (MBChB),Egerton University - Njoro Campus,diploma
Bachelor of Medicine and Bachelor of Surgery (MBChB),Kenyatta University - Main Campus,diploma
Bachelor of Medicine and Bachelor of Surgery (MBChB),Moi University - College of Health Sciences,diploma
Bachelor of Medicine and Bachelor of Surgery (MBChB),The University of Nairobi - Chiromo Campus,diploma
Bachelor of Medicine and Bachelor of Surgery (MBChB),The University of Nairobi - Kenyatta National Hospital (KNH) Campus,diploma
Bachelor of Medicine and Bachelor of Surgery (MBChB),Kenya Methodist University - Main Campus - Meru,diploma
Bachelor of Medicine and Bachelor of Surgery (MBChB),Uzima University College - Uzima University College,diploma
Bachelor of Pharmacy,Mount Kenya University - Main Campus,diploma
Bachelor of Pharmacy,Kenyatta University - Main Campus,diploma
Bachelor of Pharmacy,The University of Nairobi - Chiromo Campus,diploma
Bachelor of Pharmacy,The University of Nairobi - Kenyatta National Hospital (KNH) Campus,diploma
Bachelor of Pharmacy,Kenyatta University - KU/KIST,diploma
Bachelor of Pharmacy,United States International University - USIU,diploma
Bachelor of Pharmacy,Kenya Methodist University - Main Campus - Meru,diploma
Bachelor of Philosophy (Applied Biology),Technical University of Kenya - Main Campus,diploma
Bachelor of Science (Clinical Medicine),Mount Kenya University - Main Campus,diploma
Bachelor of Science (Clinical Medicine),Jomo Kenyatta University of Agriculture and Technology - Juja (Main) Campus,diploma
Bachelor of Science (Computer Science),Kisii University - Kisii Town Campus,diploma
Bachelor of Science (Computer Science),Laikipia University - Main Campus,diploma
Bachelor of Science (Computer Science),Africa Nazarene University - Ongata Rongai Campus,diploma
Bachelor of Science (Computer Science),Africa Nazarene University - Nairobi Campus,diploma
Bachelor of Science (Computer Science),The Catholic University of Eastern Africa - Main Campus - Lang'ata,diploma
Bachelor of Science (Computer Science),The Catholic University of Eastern Africa - Nairobi City Campus,diploma
Bachelor of Science (Computer Science),St. Paul's University - Limuru Campus,diploma
Bachelor of Science (Computer Science),Gretsa University - Thika Campus,diploma
Bachelor of Science (Computer Science),The Presbyterian University of East Africa - Main Campus - Kikuyu,diploma
Bachelor of Science (Computer Science),Kabarak University - Main Campus,diploma
Bachelor of Science (Computer Science),Meru University of Science and Technology - Main Campus (Nchiru),diploma
Bachelor of Science (Computer Science),Karatina University - Main Campus - Kagochi,diploma
Bachelor of Science (Computer Science),Kiriri Women's University of Science And Technology - Nkubu Center - Meru,diploma
Bachelor of Science (Computer Science),Karatina University - Nanyuki Campus,diploma
Bachelor of Science (Computer Science),Karatina University - Karatina Town Campus,diploma
Bachelor of Science (Computer Science),Multimedia University of Kenya - Mbagathi Campus,diploma
Bachelor of Science (Computer Science),South Eastern Kenya University - Main Campus,diploma
Bachelor of Science (Computer Science),South Eastern Kenya University - Mtito Andei Town Campus,diploma
Bachelor of Science (Computer Science),South Eastern Kenya University - Kitui Town Campus,diploma
Bachelor of Science (Computer Science),South Eastern Kenya University - Machakos Town Campus,diploma
Bachelor of Science (Computer Science),South Eastern Kenya University - Wote Town Campus,diploma
Bachelor of Science (Computer Science),Chuka University - Main Campus,diploma
Bachelor of Science (Computer Science),Jomo Kenyatta University of Agriculture and Technology - Juja (Main) Campus,diploma
Bachelor of Science (Computer Science),Masinde Muliro University of Science and Technology - Main Campus,diploma
Bachelor of Science (Computer Science),Egerton University - Njoro Campus,diploma
Bachelor of Science (Computer Science),Kenyatta University - Main Campus,diploma
Bachelor of Science (Computer Science),Kenyatta University - Mombasa Campus,diploma
Bachelor of Science (Computer Science),Maasai Mara University - Main Campus,diploma
Bachelor of Science (Computer Science),Dedan Kimathi University of Technology - Nyeri (Main campus),diploma
Bachelor of Science (Computer Science),University of Eldoret - Main Campus,diploma
Bachelor of Science (Computer Science),Moi University - Main Campus,diploma
Bachelor of Science (Computer Science),Umma University - Thika Campus,diploma
Bachelor of Science (Computer Science),Kenya Highlands Evangelical University - Main Campus,diploma
Bachelor of Science (Computer Science),The University of Nairobi - Kenya Science Campus,diploma
Bachelor of Science (Computer Science),The University of Nairobi - Kisumu Campus,diploma
Bachelor of Science (Computer Science),South Eastern Kenya University - Nairobi Town Campus,diploma
Bachelor of Science (Computer Science),Kisii University - Nyamira Campus,diploma
Bachelor of Science (Computer Science),Machakos University College - Main Campus,diploma
Bachelor of Science (Computer Science),Kibabii University College - Main Campus,diploma
Bachelor of Science (Computer Science),Embu University College - EUC,diploma
Bachelor of Science (Nursing),Daystar University - Athi River Campus,diploma
Bachelor of Science (Nursing),Daystar University - Nairobi Campus,diploma
Bachelor of Science (Nursing),Daystar University - Mombasa Campus,diploma
Bachelor of Science (Nursing),Kenya Methodist University - Main Campus - Meru,diploma
Bachelor of Science (Nursing),Mount Kenya University - Main Campus,diploma
Bachelor of Science (Nursing),Great Lakes University of Kisumu - Main Campus,diploma
Bachelor of Science (Nursing),Jomo Kenyatta University of Agriculture and Technology - Juja (Main) Campus,diploma
Bachelor of Science (Nursing),University of Eastern Africa Baraton - Main Campus - Baraton,diploma
Bachelor of Science (Nursing),University of Eastern Africa Baraton - Nairobi Extension Centre,diploma
Bachelor of Science (Nursing),University of Eastern Africa Baraton - Eldoret Extension Centre,diploma
Bachelor of Science (Nursing),Masinde Muliro University of Science and Technology - Main Campus,diploma
Bachelor of Science (Nursing),Dedan Kimathi University of Technology - Nyeri (Main campus),diploma
Bachelor of Science (Nursing),Moi University - College of Health Sciences,diploma
Bachelor of Science (Nursing),The University of Nairobi - Chiromo Campus,diploma
Bachelor of Science (Nursing),The University of Nairobi - Kenyatta National Hospital (KNH) Campus,diploma
Bachelor of Science in Applied Biology,Kenya Methodist University - Main Campus - Meru,diploma
Bachelor of Technology (Industrial and Applied Biology),Technical University of Kenya - Main Campus,diploma
Bachelor of Technology in Industrial & Applied Biology,Technical University of Kenya - Main Campus,diploma
Beauty - Diploma,Unity College of Professional Studies - Town Campus,diploma
CAM Diploma in Digital Marketing,Zetech University - Agriculture House Campus,diploma
CAM Diploma in Marketing Communication,Zetech University - Agriculture House Campus,diploma
CIPS Advanced Diploma,Multimedia University of Kenya - Mbagathi Campus,diploma
CIPS Foundation Diploma,Multimedia University of Kenya - Mbagathi Campus,diploma
CIPS Foundation Diploma,Esmart College - Kikuyu Campus,diploma
CIPS Graduate Diploma,Multimedia University of Kenya - Mbagathi Campus,diploma
Community Development - Diploma,Unity College of Professional Studies - Town Campus,diploma
Computerised Diploma in Travel and Tourism Management,Mombasa Aviation Training Institute - Mombasa,diploma
Computerized Diploma in Secretarial (Module I & II),Kenya Christian Industrial Training Institute - Eastleigh Campus,diploma
Counselling and Psychology - Diploma,Jodan College of Technology - Thika Main Campus,diploma
Counselling Psychology  -Diploma,Unity College of Professional Studies - Town Campus,diploma
Counselling Psychology  -Diploma,Technical University of Kenya - Main Campus,diploma
Counselling Psychology  -Diploma,Kenya Institute of Business and Counselling Studies - KIBCo,diploma
Craft in Electrical Engineering,Endebess Technical Training Institute,diploma
Dip. in Mechanical Engineering (Automotive Opt),Technical University of Mombasa - Main Campus,diploma
Dip. in Mechanical Engineering(Plant Opt),Technical University of Mombasa - Main Campus,diploma
Dip. in Mechanical Engineering(Production Option),Machakos University College - Main Campus,diploma
Dip. in Mechanical Engineering(Production Option),Technical University of Mombasa - Main Campus,diploma
Dip. in Technology (Computer Network Engineering),Technical University of Mombasa - Main Campus,diploma
Dip. in Technology (Electrical Power Engineering),Technical University of Mombasa - Main Campus,diploma
Dip. in Technology (Electronics Engineering),Technical University of Mombasa - Main Campus,diploma
Dip. in Technology (Spartial Design & Planning),Technical University of Kenya - Main Campus,diploma
Dip. in Technology (Telecoms and Information Engineering),Technical University of Mombasa - Main Campus,diploma
Dip. in Technology (Urban & Regional Planning),Technical University of Kenya - Main Campus,diploma
Dip. in Technology in Real Estate & Property Management,Technical University of Kenya - Main Campus,diploma
Diploma Business Administration,Pwani University - Main Campus,diploma
Diploma Business Administration,Jomo Kenyatta University of Agriculture and Technology - Nairobi CBD Center,diploma
Diploma Business Administration,Maseno University - Homabay Campus,diploma
Diploma Community Health,Garissa University,diploma
Diploma Computer Programming,Bushiangala Technical Training Institute,diploma
Diploma Computer Science,Bushiangala Technical Training Institute,diploma
Diploma Computer Science/Engineering,Kenya Institute of Software Engineering. - Thika,diploma
Diploma Cyber Security,Bushiangala Technical Training Institute,diploma
Diploma Electrical Technician (Power Option),Bushiangala Technical Training Institute,diploma
Diploma for IT Users,Mombasa Aviation Training Institute - Mombasa,diploma
